"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 29, 2021","120,065.75","121,052.82","121,497.86","119,702.87","8.50M","-0.82%"
"Apr 28, 2021","121,052.52","119,391.70","121,275.86","119,391.70","9.08M","1.39%"
"Apr 27, 2021","119,388.37","120,594.61","121,012.34","119,003.27","8.36M","-1.00%"
"Apr 26, 2021","120,594.61","120,533.72","121,392.72","119,859.60","7.10M","0.05%"
"Apr 23, 2021","120,530.06","119,372.04","120,814.83","119,372.04","7.62M","0.97%"
"Apr 22, 2021","119,371.48","120,064.36","120,994.84","119,203.20","8.60M","-0.58%"
"Apr 20, 2021","120,061.99","120,925.06","121,353.82","119,841.33","7.81M","-0.72%"
"Apr 19, 2021","120,933.78","121,116.05","121,974.21","120,682.17","10.03M","-0.15%"
"Apr 16, 2021","121,113.93","120,700.67","121,333.36","120,198.90","7.95M","0.34%"
"Apr 15, 2021","120,700.67","120,290.26","121,408.72","120,083.97","7.95M","0.34%"
"Apr 14, 2021","120,294.68","119,297.53","120,871.45","119,297.53","10.08M","0.84%"
"Apr 13, 2021","119,297.13","118,809.35","119,529.16","118,041.14","8.98M","0.41%"
"Apr 12, 2021","118,811.74","117,660.77","118,811.74","117,660.77","7.00M","0.97%"
"Apr 09, 2021","117,669.90","118,312.63","118,643.03","117,336.12","7.74M","-0.54%"
"Apr 08, 2021","118,313.23","117,623.75","118,849.75","117,486.01","8.78M","0.59%"
"Apr 07, 2021","117,623.58","117,498.87","118,303.28","116,747.95","8.54M","0.11%"
"Apr 06, 2021","117,498.87","117,519.41","118,212.60","117,175.98","6.80M","-0.02%"
"Apr 05, 2021","117,518.44","115,262.30","117,667.85","115,262.30","7.25M","1.97%"
"Apr 01, 2021","115,253.31","116,644.46","117,087.69","114,990.54","8.02M","-1.18%"
"Mar 31, 2021","116,633.72","116,849.67","117,248.51","115,932.42","10.66M","-0.18%"
"Mar 30, 2021","116,849.67","115,413.73","117,090.07","114,999.15","8.14M","1.24%"
"Mar 29, 2021","115,418.72","114,776.48","115,552.84","114,095.70","7.46M","0.56%"
"Mar 26, 2021","114,780.62","113,750.08","115,415.60","113,305.43","8.66M","0.91%"
"Mar 25, 2021","113,749.90","112,064.63","114,024.30","110,926.74","10.31M","1.50%"
"Mar 24, 2021","112,064.19","113,272.08","114,822.60","112,064.19","9.83M","-1.06%"
"Mar 23, 2021","113,261.80","114,976.94","115,598.66","113,061.89","8.30M","-1.49%"
"Mar 22, 2021","114,978.86","116,222.06","116,224.73","113,619.52","8.16M","-1.07%"
"Mar 19, 2021","116,221.58","114,837.21","116,446.09","114,610.07","12.34M","1.21%"
"Mar 18, 2021","114,835.43","116,549.08","116,750.66","114,301.95","9.92M","-1.47%"
"Mar 17, 2021","116,549.44","114,017.62","116,736.36","113,428.10","9.43M","2.22%"
"Mar 16, 2021","114,018.78","114,845.17","114,974.22","113,370.08","7.80M","-0.72%"
"Mar 15, 2021","114,850.74","114,092.94","114,903.23","113,634.95","8.22M","0.60%"
"Mar 12, 2021","114,160.40","114,983.76","114,983.76","113,253.10","8.11M","-0.72%"
"Mar 11, 2021","114,983.76","112,781.82","115,126.94","112,775.50","12.09M","1.96%"
"Mar 10, 2021","112,776.49","111,331.26","112,928.14","109,998.86","12.51M","1.30%"
"Mar 09, 2021","111,330.62","110,611.42","112,524.50","109,343.23","12.14M","0.65%"
"Mar 08, 2021","110,611.58","115,202.23","115,202.23","110,267.80","13.70M","-3.98%"
"Mar 05, 2021","115,202.23","112,690.44","115,503.58","112,503.93","13.25M","2.23%"
"Mar 04, 2021","112,690.17","111,190.75","114,433.38","111,163.12","14.22M","1.35%"
"Mar 03, 2021","111,183.95","111,529.18","112,398.24","107,465.78","15.14M","-0.32%"
"Mar 02, 2021","111,539.80","110,328.47","112,428.08","107,319.15","14.82M","1.09%"
"Mar 01, 2021","110,334.83","110,035.82","112,445.12","110,035.72","11.24M","0.27%"
"Feb 26, 2021","110,035.17","112,260.21","113,466.21","109,827.09","14.62M","-1.98%"
"Feb 25, 2021","112,256.36","115,668.39","116,506.22","111,764.30","12.47M","-2.95%"
"Feb 24, 2021","115,667.78","115,229.45","116,207.59","114,668.41","11.40M","0.38%"
"Feb 23, 2021","115,227.46","112,675.98","115,380.38","112,667.40","15.17M","2.27%"
"Feb 22, 2021","112,667.70","118,388.07","118,388.07","111,650.26","21.77M","-4.87%"
"Feb 19, 2021","118,430.53","119,199.18","119,249.77","117,867.30","10.40M","-0.64%"
"Feb 18, 2021","119,198.97","120,360.70","120,845.47","118,514.98","10.72M","-0.96%"
"Feb 17, 2021","120,355.79","119,421.13","120,597.33","118,879.97","8.33M","0.78%"
"Feb 12, 2021","119,428.72","119,299.83","119,763.36","118,162.68","7.66M","0.11%"
"Feb 11, 2021","119,299.83","118,439.75","120,282.76","118,439.75","7.57M","0.73%"
"Feb 10, 2021","118,435.33","119,471.83","119,738.13","117,969.94","8.64M","-0.87%"
"Feb 09, 2021","119,471.62","119,695.64","119,974.93","118,245.64","7.91M","-0.19%"
"Feb 08, 2021","119,696.36","120,239.34","120,844.42","119,140.08","8.62M","-0.45%"
"Feb 05, 2021","120,240.26","119,260.62","121,116.60","119,260.62","8.21M","0.82%"
"Feb 04, 2021","119,260.82","119,727.75","120,559.98","118,917.65","8.10M","-0.39%"
"Feb 03, 2021","119,724.72","118,234.99","120,210.38","118,234.28","8.70M","1.26%"
"Feb 02, 2021","118,233.81","117,520.36","119,805.18","117,519.17","11.63M","0.61%"
"Feb 01, 2021","117,517.57","115,093.16","117,861.51","115,093.16","8.72M","2.13%"
"Jan 29, 2021","115,067.55","118,879.90","118,879.90","114,973.00","10.97M","-3.21%"
"Jan 28, 2021","118,883.25","115,882.30","119,355.23","115,733.60","12.07M","2.59%"
"Jan 27, 2021","115,882.30","116,463.45","117,839.79","114,886.51","12.38M","-0.50%"
"Jan 26, 2021","116,464.06","117,380.89","119,167.14","116,109.10","10.68M","-0.78%"
"Jan 22, 2021","117,380.49","118,317.52","118,317.52","116,108.90","9.37M","-0.80%"
