"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20","17,433.36","17,431.27","17,684.07","17,220.89","-","1.41%"
"Nov 20","17,190.25","15,720.12","17,410.99","15,569.43","285.21M","10.33%"
"Oct 20","15,580.64","16,189.66","16,611.02","15,418.46","4.43B","-3.35%"
"Sep 20","16,121.38","16,533.18","16,725.68","15,724.95","4.94B","-2.38%"
"Aug 20","16,514.44","16,172.64","16,835.09","16,172.64","3.99B","2.14%"
"Jul 20","16,169.20","15,694.11","16,317.89","15,391.73","4.28B","4.22%"
"Jun 20","15,515.22","15,177.61","15,980.07","14,934.71","7.06B","2.12%"
"May 20","15,192.83","14,562.98","15,342.43","14,187.47","6.40B","2.79%"
"Apr 20","14,780.74","12,966.82","15,257.93","12,813.98","7.31B","10.48%"
"Mar 20","13,378.75","16,324.99","16,798.22","11,172.73","11.00B","-17.74%"
"Feb 20","16,263.05","17,351.01","17,970.51","15,896.35","4.97B","-6.09%"
"Jan 20","17,318.49","17,131.63","17,666.45","17,033.21","4.66B","1.49%"
"Dec 19","17,063.43","17,060.92","17,230.58","16,816.97","4.16B","0.14%"
"Nov 19","17,040.20","16,537.72","17,120.90","16,534.93","4.32B","3.38%"
"Oct 19","16,483.16","16,683.64","16,707.54","16,198.09","4.07B","-1.05%"
"Sep 19","16,658.63","16,382.53","16,947.23","16,328.43","4.68B","1.32%"
"Aug 19","16,442.07","16,389.22","16,505.92","15,964.38","4.45B","0.22%"
"Jul 19","16,406.56","16,463.55","16,641.79","16,282.12","3.74B","0.15%"
"Jun 19","16,382.20","16,053.47","16,603.94","15,960.93","4.22B","2.15%"
"May 19","16,037.49","16,580.61","16,604.91","15,963.31","4.75B","-3.28%"
"Apr 19","16,580.73","16,187.88","16,672.71","16,153.63","4.50B","2.97%"
"Mar 19","16,102.09","16,086.29","16,275.31","15,891.94","5.68B","0.64%"
"Feb 19","15,999.01","15,562.27","16,115.83","15,483.40","4.75B","2.95%"
"Jan 19","15,540.60","14,163.92","15,564.61","14,112.84","5.22B","8.50%"
"Dec 18","14,322.86","15,358.94","15,378.90","13,776.88","5.58B","-5.76%"
"Nov 18","15,197.82","15,032.79","15,393.05","14,810.56","5.58B","1.13%"
"Oct 18","15,027.28","16,152.28","16,193.06","14,639.70","6.14B","-6.51%"
"Sep 18","16,073.14","16,276.26","16,300.67","15,975.75","4.80B","-1.17%"
"Aug 18","16,262.88","16,383.82","16,494.09","16,075.34","4.37B","-1.04%"
"Jul 18","16,434.01","16,332.35","16,586.46","16,227.25","3.52B","0.96%"
"Jun 18","16,277.73","16,075.78","16,489.46","16,037.97","4.44B","1.35%"
"May 18","16,061.50","15,592.52","16,238.81","15,548.70","4.53B","2.91%"
"Apr 18","15,607.88","15,351.18","15,702.59","14,991.21","4.12B","1.57%"
"Mar 18","15,367.29","15,452.72","15,791.15","15,150.54","4.56B","-0.49%"
"Feb 18","15,442.68","15,920.00","15,922.59","14,785.78","4.45B","-3.19%"
"Jan 18","15,951.67","16,213.37","16,421.42","15,898.74","4.64B","-1.59%"
"Dec 17","16,209.13","16,058.21","16,232.24","15,853.07","3.53B","0.88%"
"Nov 17","16,067.48","16,093.39","16,131.79","15,829.44","3.89B","0.26%"
