"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20","3,473.07","3,388.99","3,474.92","3,325.17","644.51B","2.40%"
"Nov 20","3,391.76","3,228.72","3,456.74","3,209.91","568.06B","5.19%"
"Oct 20","3,224.53","3,262.61","3,371.09","3,219.42","303.70B","0.20%"
"Sep 20","3,218.05","3,389.74","3,425.63","3,202.34","490.62B","-5.23%"
"Aug 20","3,395.68","3,332.18","3,456.72","3,263.27","735.91B","2.59%"
"Jul 20","3,310.01","2,991.18","3,458.79","2,984.98","1,024.50B","10.90%"
"Jun 20","2,984.67","2,871.96","2,990.83","2,871.96","469.98B","4.64%"
"May 20","2,852.35","2,831.63","2,914.28","2,802.47","370.37B","-0.27%"
"Apr 20","2,860.08","2,743.54","2,865.59","2,719.90","471.04B","3.99%"
"Mar 20","2,750.30","2,899.31","3,074.26","2,646.80","698.95B","-4.51%"
"Feb 20","2,880.30","2,716.70","3,058.90","2,685.27","653.70B","-3.23%"
"Jan 20","2,976.53","3,066.34","3,127.17","2,955.35","387.34B","-2.41%"
"Dec 19","3,050.12","2,874.45","3,051.68","2,857.32","412.77B","6.20%"
"Nov 19","2,871.98","2,924.34","3,008.31","2,858.58","304.50B","-1.95%"
"Oct 19","2,929.06","2,905.76","3,026.38","2,891.54","263.52B","0.82%"
"Sep 19","2,905.19","2,886.94","3,042.93","2,883.68","394.69B","0.66%"
"Aug 19","2,886.24","2,920.85","2,927.34","2,733.92","369.45B","-1.58%"
"Jul 19","2,932.51","3,024.62","3,048.48","2,879.69","371.85B","-1.56%"
"Jun 19","2,978.88","2,901.74","3,012.83","2,822.19","397.47B","2.77%"
"May 19","2,898.70","2,984.73","2,986.54","2,833.04","446.51B","-5.84%"
"Apr 19","3,078.34","3,111.66","3,288.45","3,050.03","748.71B","-0.40%"
"Mar 19","3,090.76","2,954.40","3,129.94","2,930.83","869.19B","5.09%"
"Feb 19","2,940.95","2,597.78","2,997.49","2,590.55","442.18B","13.79%"
"Jan 19","2,584.57","2,497.88","2,630.32","2,440.91","338.56B","3.64%"
