"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","3,473.07","3,419.73","3,474.92","3,419.73","33.57B","1.72%"
"Dec 30, 2020","3,414.45","3,375.01","3,414.45","3,374.42","29.10B","1.05%"
"Dec 29, 2020","3,379.04","3,399.29","3,407.09","3,376.09","31.18B","-0.54%"
"Dec 28, 2020","3,397.29","3,396.36","3,412.52","3,383.65","31.62B","0.02%"
"Dec 25, 2020","3,396.56","3,351.79","3,397.01","3,348.35","29.45B","0.99%"
"Dec 24, 2020","3,363.11","3,382.19","3,394.07","3,354.02","27.50B","-0.57%"
"Dec 23, 2020","3,382.32","3,362.47","3,394.21","3,360.20","29.95B","0.76%"
"Dec 22, 2020","3,356.78","3,410.97","3,415.75","3,353.86","32.30B","-1.86%"
"Dec 21, 2020","3,420.57","3,394.39","3,423.61","3,381.12","28.38B","0.76%"
"Dec 18, 2020","3,394.90","3,400.49","3,413.81","3,382.75","28.10B","-0.29%"
"Dec 17, 2020","3,404.87","3,367.28","3,406.15","3,354.01","27.55B","1.13%"
"Dec 16, 2020","3,366.98","3,371.26","3,378.66","3,359.17","22.08B","-0.01%"
"Dec 15, 2020","3,367.23","3,366.58","3,373.56","3,348.42","22.57B","-0.06%"
"Dec 14, 2020","3,369.12","3,349.53","3,371.13","3,338.63","23.98B","0.66%"
"Dec 11, 2020","3,347.19","3,381.01","3,383.18","3,325.17","29.86B","-0.77%"
"Dec 10, 2020","3,373.28","3,365.73","3,384.89","3,357.75","24.73B","0.04%"
"Dec 09, 2020","3,371.96","3,416.08","3,422.54","3,371.92","26.07B","-1.12%"
"Dec 08, 2020","3,410.18","3,417.69","3,428.66","3,403.03","22.69B","-0.19%"
"Dec 07, 2020","3,416.60","3,446.65","3,449.58","3,414.31","25.45B","-0.81%"
"Dec 04, 2020","3,444.58","3,436.73","3,448.40","3,417.05","25.63B","0.07%"
"Dec 03, 2020","3,442.14","3,448.54","3,452.16","3,428.80","29.85B","-0.21%"
"Dec 02, 2020","3,449.38","3,453.52","3,465.73","3,435.87","31.28B","-0.07%"
"Dec 01, 2020","3,451.94","3,388.99","3,457.64","3,386.91","31.62B","1.77%"
"Nov 30, 2020","3,391.76","3,418.16","3,456.74","3,391.76","38.50B","-0.49%"
"Nov 27, 2020","3,408.31","3,373.84","3,408.31","3,364.49","28.06B","1.14%"
"Nov 26, 2020","3,369.73","3,360.06","3,371.45","3,344.28","25.59B","0.22%"
"Nov 25, 2020","3,362.33","3,417.51","3,423.49","3,362.33","32.21B","-1.19%"
"Nov 24, 2020","3,402.82","3,407.41","3,413.93","3,396.24","30.10B","-0.34%"
"Nov 23, 2020","3,414.49","3,384.10","3,431.65","3,377.99","37.39B","1.09%"
"Nov 20, 2020","3,377.73","3,359.60","3,380.15","3,356.31","26.13B","0.44%"
"Nov 19, 2020","3,363.09","3,339.09","3,367.33","3,330.45","25.33B","0.47%"
"Nov 18, 2020","3,347.30","3,337.33","3,358.89","3,333.99","28.75B","0.22%"
"Nov 17, 2020","3,339.90","3,347.15","3,347.70","3,323.95","28.36B","-0.21%"
"Nov 16, 2020","3,346.97","3,325.62","3,346.97","3,313.65","27.96B","1.11%"
"Nov 13, 2020","3,310.10","3,327.23","3,327.23","3,291.64","22.79B","-0.86%"
"Nov 12, 2020","3,338.68","3,344.46","3,350.28","3,329.49","21.65B","-0.11%"
"Nov 11, 2020","3,342.20","3,354.02","3,365.84","3,339.04","27.12B","-0.53%"
"Nov 10, 2020","3,360.15","3,387.62","3,387.62","3,346.17","27.87B","-0.40%"
"Nov 09, 2020","3,373.73","3,329.43","3,380.82","3,329.43","31.02B","1.86%"
"Nov 06, 2020","3,312.16","3,326.46","3,326.46","3,292.15","23.49B","-0.24%"
"Nov 05, 2020","3,320.13","3,305.58","3,320.41","3,291.60","22.68B","1.30%"
"Nov 04, 2020","3,277.44","3,273.43","3,286.62","3,254.11","18.85B","0.19%"
"Nov 03, 2020","3,271.07","3,239.81","3,278.38","3,237.85","21.53B","1.42%"
"Nov 02, 2020","3,225.12","3,228.72","3,242.80","3,209.91","22.68B","0.02%"
"Oct 30, 2020","3,224.53","3,278.63","3,279.86","3,219.42","23.02B","-1.47%"
"Oct 29, 2020","3,272.73","3,235.76","3,289.77","3,231.12","18.47B","0.11%"
"Oct 28, 2020","3,269.24","3,256.22","3,275.87","3,238.38","17.32B","0.46%"
"Oct 27, 2020","3,254.32","3,240.74","3,258.34","3,235.54","14.91B","0.10%"
"Oct 26, 2020","3,251.12","3,258.70","3,264.45","3,226.60","16.77B","-0.82%"
"Oct 23, 2020","3,278.00","3,308.16","3,326.05","3,276.62","17.42B","-1.04%"
"Oct 22, 2020","3,312.50","3,315.82","3,320.88","3,281.37","16.60B","-0.38%"
"Oct 21, 2020","3,325.02","3,332.15","3,332.15","3,304.17","17.76B","-0.09%"
"Oct 20, 2020","3,328.10","3,307.15","3,328.10","3,293.77","16.51B","0.47%"
"Oct 19, 2020","3,312.67","3,351.10","3,371.09","3,307.84","21.23B","-0.71%"
"Oct 16, 2020","3,336.36","3,334.46","3,348.95","3,319.11","19.43B","0.13%"
"Oct 15, 2020","3,332.18","3,342.92","3,354.58","3,330.00","19.10B","-0.26%"
"Oct 14, 2020","3,340.78","3,353.62","3,353.62","3,332.96","19.87B","-0.56%"
"Oct 13, 2020","3,359.75","3,353.12","3,361.83","3,334.50","20.49B","0.04%"
"Oct 12, 2020","3,358.47","3,287.33","3,359.15","3,286.11","25.96B","2.64%"
"Oct 09, 2020","3,272.08","3,262.61","3,280.51","3,260.19","18.83B","1.68%"
"Sep 30, 2020","3,218.05","3,232.71","3,244.91","3,202.34","15.35B","-0.20%"
"Sep 29, 2020","3,224.36","3,231.85","3,242.79","3,219.79","15.13B","0.21%"
