"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20","47,751.33","44,435.83","47,896.97","44,118.10","390.45M","8.16%"
"Nov 20","44,149.72","39,880.38","44,825.37","39,334.92","410.33M","11.45%"
"Oct 20","39,614.07","38,410.20","41,048.05","38,410.20","323.06M","4.06%"
"Sep 20","38,067.93","38,754.00","39,359.51","36,495.98","309.87M","-1.45%"
"Aug 20","38,628.29","37,595.73","40,010.17","36,911.23","381.93M","2.72%"
"Jul 20","37,606.89","35,009.59","38,617.03","34,927.20","442.93M","7.71%"
"Jun 20","34,915.80","32,906.05","35,706.55","32,348.10","541.98M","7.68%"
"May 20","32,424.10","32,748.14","32,845.48","29,968.45","544.06M","-3.84%"
"Apr 20","33,717.62","29,505.33","33,887.25","27,500.79","346.46M","14.42%"
"Mar 20","29,468.49","38,910.95","39,083.17","25,638.90","702.01M","-23.05%"
"Feb 20","38,297.29","40,753.18","41,709.30","38,219.97","213.43M","-5.96%"
"Jan 20","40,723.49","41,349.36","42,273.87","40,476.55","208.88M","-1.29%"
"Dec 19","41,253.74","41,072.94","41,809.96","40,135.37","538.20M","1.13%"
"Nov 19","40,793.81","40,196.07","41,163.79","40,014.23","711.06M","1.66%"
"Oct 19","40,129.05","38,813.48","40,392.22","37,415.83","858.91M","3.78%"
"Sep 19","38,667.33","37,181.76","39,441.12","35,987.80","618.94M","3.57%"
"Aug 19","37,332.79","37,387.18","37,807.55","36,102.35","564.23M","-0.40%"
"Jul 19","37,481.12","39,543.73","40,032.41","37,128.26","458.88M","-4.86%"
"Jun 19","39,394.64","39,806.86","40,312.07","38,870.96","320.97M","-0.80%"
"May 19","39,714.20","39,036.51","40,124.96","36,956.10","408.67M","1.75%"
"Apr 19","39,031.55","38,858.88","39,487.45","38,460.25","322.52M","0.93%"
"Mar 19","38,672.91","36,018.49","38,748.54","35,926.94","327.94M","7.82%"
"Feb 19","35,867.44","36,311.74","37,172.18","35,287.16","353.41M","-1.07%"
"Jan 19","36,256.69","36,161.80","36,701.03","35,375.51","439.94M","0.52%"
"Dec 18","36,068.33","36,396.69","36,554.99","34,426.29","380.93M","-0.35%"
"Nov 18","36,194.30","34,650.63","36,389.22","34,303.38","412.11M","5.09%"
"Oct 18","34,442.05","36,274.25","36,616.64","33,291.58","455.02M","-4.93%"
"Sep 18","36,227.14","38,915.91","38,934.35","35,985.63","315.59M","-6.26%"
"Aug 18","38,645.07","37,643.87","38,989.65","37,128.99","271.29M","2.76%"
"Jul 18","37,606.58","35,545.22","37,644.59","35,106.57","281.83M","6.16%"
"Jun 18","35,423.48","35,373.98","35,877.41","34,784.68","331.13M","0.29%"
"May 18","35,322.38","35,328.91","35,993.53","34,302.89","246.59M","0.46%"
"Apr 18","35,160.36","33,030.87","35,213.30","32,972.56","234.71M","6.65%"
"Mar 18","32,968.68","34,141.22","34,278.63","32,483.84","250.53M","-3.56%"
"Feb 18","34,184.04","36,048.99","36,256.83","33,482.81","353.44M","-4.95%"
"Jan 18","35,965.02","34,059.99","36,443.98","33,703.37","394.29M","5.60%"
"Dec 17","34,056.83","33,247.66","34,137.97","32,565.16","260.50M","2.74%"
"Nov 17","33,149.35","33,344.23","33,865.95","32,683.59","740.17M","-0.19%"
"Oct 17","33,213.13","31,537.81","33,340.17","31,440.48","216.18M","6.17%"
"Sep 17","31,283.72","31,769.34","32,524.11","31,081.83","241.07M","-1.41%"
"Aug 17","31,730.49","32,579.80","32,686.48","31,128.02","248.69M","-2.41%"
"Jul 17","32,514.94","31,156.04","32,672.66","31,017.11","266.44M","5.15%"
"Jun 17","30,921.61","31,117.09","31,522.87","30,680.66","339.43M","-0.72%"
"May 17","31,145.80","30,021.49","31,255.28","29,804.12","291.34M","4.10%"
"Apr 17","29,918.40","29,737.73","30,184.22","29,241.48","200.87M","1.01%"
"Mar 17","29,620.50","28,849.04","29,824.62","28,716.21","1.58B","3.05%"
"Feb 17","28,743.32","27,669.08","29,065.31","27,590.10","247.80M","3.93%"
"Jan 17","27,655.96","26,711.15","27,980.39","26,447.06","207.49M","3.87%"
"Dec 16","26,626.46","26,756.66","26,803.76","25,753.74","194.90M","-0.10%"
"Nov 16","26,652.81","27,966.18","28,029.80","25,717.93","268.94M","-4.57%"
"Oct 16","27,930.21","27,997.29","28,477.65","27,488.30","235.18M","0.23%"
"Sep 16","27,865.96","28,459.09","29,077.28","27,716.78","266.89M","-2.06%"
"Aug 16","28,452.17","28,083.08","28,532.25","27,627.97","289.58M","1.43%"
"Jul 16","28,051.86","27,064.33","28,240.20","27,034.14","274.42M","3.90%"
"Jun 16","26,999.72","26,684.46","27,105.41","25,911.33","253.20M","1.24%"
"May 16","26,667.96","25,565.44","26,837.20","25,057.93","289.16M","4.14%"
"Apr 16","25,606.62","25,301.70","26,100.54","24,523.20","243.87M","1.04%"
"Mar 16","25,341.86","23,153.32","25,479.62","23,133.18","311.01M","10.17%"
"Feb 16","23,002.00","24,982.22","25,002.32","22,494.61","375.74M","-7.51%"
"Jan 16","24,870.69","26,101.50","26,197.27","23,839.76","233.41M","-4.77%"
"Dec 15","26,117.54","26,201.27","26,256.42","24,867.73","225.28M","-0.11%"
"Nov 15","26,145.67","26,641.69","26,824.30","25,451.42","202.13M","-1.92%"
"Oct 15","26,656.83","26,344.19","27,618.14","26,168.71","250.13M","1.92%"
"Sep 15","26,154.83","26,127.04","26,471.82","24,833.54","322.60M","-0.49%"
"Aug 15","26,283.09","28,089.09","28,417.59","25,298.42","295.65M","-6.51%"
"Jul 15","28,114.56","27,823.65","28,578.33","27,416.39","223.85M","1.20%"
"Jun 15","27,780.83","27,770.79","27,968.75","26,307.07","249.18M","-0.17%"
"May 15","27,828.44","27,204.63","28,071.16","26,423.99","223.90M","3.03%"
"Apr 15","27,011.31","27,954.86","29,094.61","26,897.54","224.79M","-3.38%"
"Mar 15","27,957.49","29,533.42","30,024.74","27,248.45","264.35M","-4.78%"
