"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 29, 2021","49,765.94","50,093.86","50,375.77","49,535.98","13.23M","0.06%"
"Apr 28, 2021","49,733.84","49,066.64","49,801.48","49,066.64","14.26M","1.61%"
"Apr 27, 2021","48,944.14","48,424.08","49,009.26","48,399.53","10.06M","1.15%"
"Apr 26, 2021","48,386.51","48,197.37","48,667.98","48,152.24","15.23M","1.06%"
"Apr 23, 2021","47,878.45","47,863.81","48,265.39","47,669.55","11.18M","-0.42%"
"Apr 22, 2021","48,080.67","47,501.71","48,143.16","47,204.50","15.84M","0.79%"
"Apr 20, 2021","47,705.80","48,473.04","48,478.34","47,438.50","11.56M","-0.51%"
"Apr 19, 2021","47,949.42","47,940.81","48,020.79","47,362.71","10.52M","-1.81%"
"Apr 16, 2021","48,832.03","48,935.74","49,089.55","48,694.49","11.87M","0.06%"
"Apr 15, 2021","48,803.68","48,512.77","48,887.85","48,010.55","16.11M","0.53%"
"Apr 13, 2021","48,544.06","47,992.16","48,625.22","47,792.40","10.01K","1.38%"
"Apr 12, 2021","47,883.38","48,956.65","48,956.65","47,693.44","19.06M","-3.44%"
"Apr 09, 2021","49,591.32","49,743.39","49,906.91","49,461.01","8.85M","-0.31%"
"Apr 08, 2021","49,746.21","49,885.26","50,118.08","49,581.61","21.77M","0.17%"
"Apr 07, 2021","49,661.76","49,277.09","49,900.13","49,093.90","9.76M","0.94%"
"Apr 06, 2021","49,201.39","49,440.18","49,581.07","48,937.05","9.58K","0.09%"
"Apr 05, 2021","49,159.32","50,020.91","50,028.67","48,580.80","12.65M","-1.74%"
"Apr 01, 2021","50,029.83","49,868.53","50,092.48","49,478.53","8.52M","1.05%"
"Mar 31, 2021","49,509.15","50,049.12","50,050.32","49,442.50","11.94M","-1.25%"
"Mar 30, 2021","50,136.58","49,331.33","50,263.77","49,331.33","10.51K","2.30%"
"Mar 26, 2021","49,008.50","48,969.25","49,234.66","48,699.91","10.58M","1.17%"
"Mar 25, 2021","48,440.12","49,201.98","49,247.95","48,236.35","14.30M","-1.51%"
"Mar 24, 2021","49,180.31","49,786.47","49,854.58","49,120.34","9.18M","-1.74%"
"Mar 23, 2021","50,051.44","49,876.21","50,264.65","49,661.92","13.37M","0.56%"
"Mar 22, 2021","49,771.29","49,878.77","49,878.77","49,281.02","11.63M","-0.17%"
"Mar 19, 2021","49,858.24","48,881.19","50,003.58","48,586.93","17.51M","1.30%"
"Mar 18, 2021","49,216.52","50,161.25","50,296.35","48,962.36","12.61M","-1.17%"
"Mar 17, 2021","49,801.62","50,436.02","50,561.12","49,718.65","12.98M","-1.12%"
"Mar 16, 2021","50,363.96","50,608.42","50,857.98","50,289.44","10.24M","-0.06%"
"Mar 15, 2021","50,395.08","50,773.47","50,834.78","49,799.07","17.60M","-0.78%"
"Mar 12, 2021","50,792.08","51,660.98","51,821.84","50,538.43","12.25M","-0.95%"
"Mar 10, 2021","51,279.51","51,404.68","51,430.43","51,048.93","9.32M","0.50%"
