"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2021","29,053.97","28,935.51","29,139.70","28,875.91","614.23M","0.21%"
"Apr 27, 2021","28,991.89","29,174.53","29,187.11","28,990.19","594.24M","-0.46%"
"Apr 26, 2021","29,126.23","29,095.49","29,241.28","28,896.37","492.02M","0.36%"
"Apr 23, 2021","29,020.63","28,939.12","29,035.34","28,770.62","474.50M","-0.57%"
"Apr 22, 2021","29,188.17","28,880.78","29,192.39","28,800.86","550.71M","2.38%"
"Apr 21, 2021","28,508.55","28,660.36","28,778.93","28,419.84","709.98M","-2.03%"
"Apr 20, 2021","29,100.38","29,355.87","29,361.28","29,014.36","598.82M","-1.97%"
"Apr 19, 2021","29,685.37","29,688.32","29,808.01","29,530.84","446.99M","0.01%"
"Apr 16, 2021","29,683.37","29,789.08","29,789.08","29,621.83","490.83M","0.14%"
"Apr 15, 2021","29,642.69","29,573.90","29,787.66","29,558.55","506.21M","0.07%"
"Apr 14, 2021","29,620.99","29,718.06","29,722.40","29,567.18","571.69M","-0.44%"
"Apr 13, 2021","29,751.61","29,605.69","29,897.11","29,573.79","548.88M","0.72%"
"Apr 12, 2021","29,538.73","29,874.43","29,876.04","29,538.73","501.94M","-0.77%"
"Apr 09, 2021","29,768.06","29,865.53","30,064.35","29,768.06","648.75M","0.20%"
"Apr 08, 2021","29,708.98","29,675.88","29,744.79","29,516.42","625.99M","-0.07%"
"Apr 07, 2021","29,730.79","29,743.48","29,867.94","29,523.55","615.39M","0.12%"
"Apr 06, 2021","29,696.63","30,208.89","30,208.89","29,665.86","655.22M","-1.30%"
"Apr 05, 2021","30,089.25","30,084.61","30,195.00","30,024.25","553.63M","0.79%"
"Apr 02, 2021","29,854.00","29,704.66","29,869.67","29,694.09","571.99M","1.58%"
"Apr 01, 2021","29,388.87","29,441.91","29,585.46","29,318.82","756.39M","0.72%"
"Mar 31, 2021","29,178.80","29,278.33","29,348.99","29,165.52","820.05M","-0.86%"
"Mar 30, 2021","29,432.70","29,365.04","29,478.20","29,283.89","798.78M","0.16%"
"Mar 29, 2021","29,384.52","29,478.12","29,578.37","29,200.88","1.08B","0.71%"
"Mar 26, 2021","29,176.70","29,068.52","29,240.74","28,953.22","736.54M","1.56%"
"Mar 25, 2021","28,729.88","28,457.33","28,821.83","28,414.92","728.19M","1.14%"
"Mar 24, 2021","28,405.52","28,765.55","28,867.67","28,379.06","959.88M","-2.04%"
"Mar 23, 2021","28,995.92","29,381.49","29,496.83","28,995.92","792.03M","-0.61%"
"Mar 22, 2021","29,174.15","29,444.10","29,472.98","29,107.63","788.14M","-2.07%"
"Mar 19, 2021","29,792.05","29,904.57","30,049.77","29,621.22","1.29B","-1.41%"
"Mar 18, 2021","30,216.75","30,148.48","30,485.00","30,041.50","953.91M","1.01%"
"Mar 17, 2021","29,914.33","29,836.83","29,984.97","29,825.16","746.26M","-0.02%"
"Mar 16, 2021","29,921.09","29,770.39","30,026.40","29,755.47","837.53M","0.52%"
"Mar 15, 2021","29,766.97","29,804.50","29,884.73","29,670.31","940.73M","0.17%"
"Mar 12, 2021","29,717.83","29,287.74","29,744.32","29,210.40","966.36M","1.73%"
"Mar 11, 2021","29,211.64","29,033.92","29,255.42","28,995.33","784.58M","0.60%"
"Mar 10, 2021","29,036.56","29,118.28","29,233.47","28,960.09","830.16M","0.03%"
"Mar 09, 2021","29,027.94","28,748.87","29,053.56","28,609.21","967.25M","0.99%"
"Mar 08, 2021","28,743.25","29,208.19","29,255.90","28,644.26","923.78M","-0.42%"
"Mar 05, 2021","28,864.32","28,725.48","28,867.83","28,308.57","857.75M","-0.23%"
"Mar 04, 2021","28,930.11","29,198.42","29,277.19","28,711.04","751.88M","-2.13%"
"Mar 03, 2021","29,559.10","29,482.12","29,604.37","29,336.60","688.12M","0.51%"
"Mar 02, 2021","29,408.17","29,939.75","29,996.39","29,314.82","701.35M","-0.86%"
"Mar 01, 2021","29,663.50","29,419.45","29,686.39","29,396.04","626.60M","2.41%"
"Feb 26, 2021","28,966.01","29,753.73","29,760.31","28,966.01","929.34M","-3.99%"
"Feb 25, 2021","30,168.27","30,077.27","30,213.28","30,044.43","700.55M","1.67%"
