"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20","44,066.88","41,987.43","45,364.57","41,902.77","4.00B","5.48%"
"Nov 20","41,778.87","37,123.17","42,918.47","36,885.81","3.93B","12.95%"
"Oct 20","36,987.86","37,435.73","38,989.03","36,313.74","3.27B","-1.26%"
"Sep 20","37,458.69","36,893.82","37,688.51","35,354.03","3.70B","1.68%"
"Aug 20","36,840.73","37,359.03","39,349.38","36,788.67","2.92B","-0.48%"
"Jul 20","37,019.68","37,636.23","38,416.96","35,883.47","3.27B","-1.85%"
"Jun 20","37,716.43","36,115.13","40,030.95","35,979.22","4.62B","4.41%"
"May 20","36,122.73","36,266.73","38,015.94","35,277.54","3.90B","-0.95%"
"Apr 20","36,470.11","34,098.86","36,976.65","32,503.25","4.05B","5.54%"
"Mar 20","34,554.53","41,391.09","43,462.27","32,646.96","5.72B","-16.38%"
"Feb 20","41,324.31","44,330.97","45,645.93","39,838.04","3.35B","-6.31%"
"Jan 20","44,108.31","43,739.52","45,955.41","43,716.49","3.30B","1.30%"
"Dec 19","43,541.02","42,863.35","45,189.83","41,894.75","2.68B","1.68%"
"Nov 19","42,820.18","43,337.12","44,261.34","42,755.99","2.84B","-1.19%"
"Oct 19","43,337.28","43,006.12","43,979.29","42,107.01","3.49B","0.76%"
"Sep 19","43,011.27","42,621.87","43,665.94","41,724.23","3.70B","0.91%"
"Aug 19","42,622.50","40,816.98","42,680.23","38,265.51","4.73B","4.31%"
"Jul 19","40,863.09","43,218.10","43,763.99","40,540.97","2.90B","-5.32%"
"Jun 19","43,161.17","42,857.79","43,958.40","42,748.74","3.03B","0.96%"
"May 19","42,749.16","44,513.05","44,577.00","42,050.42","3.80B","-4.14%"
"Apr 19","44,597.32","43,302.45","45,599.57","43,168.06","2.79B","3.04%"
"Mar 19","43,281.28","42,947.71","43,362.91","41,140.32","3.52B","1.07%"
"Feb 19","42,823.81","44,095.44","44,495.02","42,066.08","3.01B","-2.65%"
"Jan 19","43,987.94","41,550.75","44,541.41","41,436.49","3.77B","5.64%"
"Dec 18","41,640.27","41,976.61","42,947.20","40,278.16","3.14B","-0.22%"
"Nov 18","41,732.78","43,993.35","46,975.18","39,271.56","4.64B","-5.03%"
"Oct 18","43,942.55","49,547.85","50,041.60","43,407.49","3.92B","-11.23%"
"Sep 18","49,504.16","49,574.12","49,964.97","48,198.74","2.74B","-0.09%"
"Aug 18","49,547.68","49,742.06","50,603.39","47,879.08","2.89B","-0.30%"
"Jul 18","49,698.01","47,684.43","50,080.80","46,566.29","3.23B","4.27%"
"Jun 18","47,663.20","44,692.79","47,705.57","44,531.80","3.76B","6.72%"
"May 18","44,662.55","48,318.03","48,496.09","44,429.36","4.10B","-7.64%"
"Apr 18","48,358.16","46,124.85","49,193.05","45,785.41","3.56B","4.84%"
"Mar 18","46,124.85","47,470.67","48,983.93","45,895.10","3.83B","-2.77%"
"Feb 18","47,437.93","50,425.84","50,926.96","46,985.81","3.18B","-5.98%"
"Jan 18","50,456.17","49,376.26","51,121.23","48,408.75","3.63B","2.23%"
"Dec 17","49,354.42","47,098.36","49,388.98","46,933.29","3.51B","4.80%"
"Nov 17","47,092.44","48,700.16","49,276.47","46,960.89","3.67B","-3.15%"
"Oct 17","48,625.53","50,499.17","50,909.48","48,579.68","4.12B","-3.42%"
"Sep 17","50,346.06","51,271.32","51,370.82","49,778.80","3.29B","-1.69%"
"Aug 17","51,210.48","51,282.19","51,722.06","50,605.88","4.19B","0.39%"
"Jul 17","51,011.87","49,831.53","51,772.37","49,696.97","3.57B","2.32%"
"Jun 17","49,857.49","48,795.89","49,901.51","48,770.98","3.71B","2.19%"
"May 17","48,788.44","49,260.12","50,154.33","48,146.00","3.70B","-0.96%"
"Apr 17","49,261.33","48,549.23","50,147.04","48,335.98","2.80B","1.48%"
"Mar 17","48,541.56","46,853.67","49,523.94","46,597.58","4.24B","3.60%"
"Feb 17","46,856.79","47,001.97","48,115.98","46,587.93","3.77B","-0.31%"
"Jan 17","47,001.06","45,642.80","48,632.51","45,314.58","4.08B","2.98%"
"Dec 16","45,642.90","45,314.04","47,241.13","44,471.84","3.84B","0.72%"
"Nov 16","45,315.96","48,021.29","48,672.94","43,998.98","6.46B","-5.61%"
"Oct 16","48,009.28","47,250.55","48,619.44","47,080.02","4.03B","1.62%"
"Sep 16","47,245.80","47,544.04","48,488.35","45,679.57","4.76B","-0.62%"
"Aug 16","47,541.32","46,654.50","48,956.06","46,143.81","5.03B","1.89%"
"Jul 16","46,660.67","45,973.20","47,785.29","45,104.87","4.30B","1.51%"
"Jun 16","45,966.49","45,468.54","46,545.32","43,902.25","4.96B","1.12%"
"May 16","45,459.45","45,785.96","46,220.63","44,823.21","4.94B","-0.71%"
"Apr 16","45,784.77","45,877.39","46,077.10","44,708.63","4.32B","-0.21%"
"Mar 16","45,881.08","43,717.65","46,307.61","43,715.99","5.31B","4.96%"
"Feb 16","43,714.93","43,639.92","44,260.23","41,757.40","4.90B","0.19%"
