"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","44,066.88","44,642.29","44,650.92","44,016.59","55.37M","-1.40%"
"Dec 30, 2020","44,693.96","44,792.05","45,364.57","44,573.67","82.86M","-0.00%"
"Dec 29, 2020","44,693.99","43,917.19","44,739.99","43,870.36","95.88M","1.85%"
"Dec 28, 2020","43,883.41","43,509.00","43,958.60","43,509.00","55.45M","1.18%"
"Dec 24, 2020","43,372.20","43,628.84","43,643.07","43,304.27","45.21M","-0.52%"
"Dec 23, 2020","43,597.30","42,687.26","43,697.38","42,620.33","119.03M","2.34%"
"Dec 22, 2020","42,601.71","43,317.30","43,373.84","42,576.42","100.17M","-1.49%"
"Dec 21, 2020","43,246.24","43,587.59","43,660.28","43,136.42","126.31M","-1.43%"
"Dec 18, 2020","43,873.81","44,428.35","44,741.24","43,343.92","666.07M","-1.02%"
"Dec 17, 2020","44,326.05","43,798.06","44,578.83","43,762.49","313.83M","1.22%"
"Dec 16, 2020","43,790.42","43,618.35","43,917.00","43,586.29","287.00M","0.57%"
"Dec 15, 2020","43,543.35","43,619.98","44,020.74","43,496.06","214.80M","-0.06%"
"Dec 14, 2020","43,569.84","43,735.64","43,806.83","43,243.52","233.29M","-0.10%"
"Dec 11, 2020","43,612.31","43,576.03","43,793.17","43,256.47","184.98M","0.22%"
"Dec 10, 2020","43,518.71","42,931.81","43,686.73","42,853.75","179.64M","1.83%"
"Dec 09, 2020","42,736.96","43,134.95","43,160.42","42,651.59","150.24M","-0.84%"
"Dec 08, 2020","43,098.64","43,221.65","43,623.23","42,891.07","195.81M","-0.36%"
"Dec 07, 2020","43,255.25","43,695.89","43,745.18","43,058.45","138.35M","-0.90%"
"Dec 04, 2020","43,646.03","44,060.31","44,606.31","43,586.42","181.38M","-0.66%"
"Dec 03, 2020","43,934.21","43,512.27","44,013.11","43,477.66","175.44M","0.59%"
"Dec 02, 2020","43,674.83","43,010.48","43,730.96","42,956.73","174.29M","1.82%"
"Dec 01, 2020","42,895.63","41,987.43","43,204.10","41,902.77","224.47M","2.67%"
"Nov 30, 2020","41,778.87","41,693.81","41,846.83","41,439.36","800.22M","0.25%"
"Nov 27, 2020","41,674.30","42,527.34","42,546.47","41,594.81","91.40M","-1.74%"
"Nov 26, 2020","42,412.47","42,121.62","42,493.46","41,904.33","102.06M","0.50%"
"Nov 25, 2020","42,200.59","42,755.07","42,755.07","42,157.88","165.26M","-1.25%"
"Nov 24, 2020","42,736.48","42,386.60","42,918.47","42,347.45","220.16M","1.11%"
"Nov 23, 2020","42,267.20","41,978.63","42,391.21","41,873.96","124.78M","0.86%"
"Nov 20, 2020","41,905.06","41,934.13","42,153.14","41,775.99","119.93M","0.09%"
"Nov 19, 2020","41,868.82","42,235.78","42,235.78","41,607.87","199.71M","-0.91%"
"Nov 18, 2020","42,252.61","42,040.81","42,661.50","41,744.06","212.90M","0.72%"
"Nov 17, 2020","41,948.79","40,944.30","42,027.38","40,944.30","283.57M","2.84%"
"Nov 13, 2020","40,791.81","40,464.64","40,848.77","40,179.48","130.01M","1.13%"
"Nov 12, 2020","40,335.95","40,780.08","40,927.69","40,241.44","133.96M","-1.28%"
"Nov 11, 2020","40,858.95","40,502.16","40,980.29","40,502.16","218.30M","1.12%"
"Nov 10, 2020","40,404.58","39,731.88","40,499.33","39,705.18","248.71M","1.90%"
"Nov 09, 2020","39,652.52","39,085.67","40,228.73","39,085.67","261.91M","2.91%"
"Nov 06, 2020","38,530.50","38,401.60","38,734.66","38,356.13","160.75M","0.34%"
"Nov 05, 2020","38,399.07","37,621.78","38,426.33","37,503.48","175.33M","2.46%"
"Nov 04, 2020","37,475.76","37,582.15","37,920.84","37,408.50","116.32M","0.03%"
"Nov 03, 2020","37,466.09","37,123.17","37,632.03","36,885.81","168.99M","1.29%"
"Oct 30, 2020","36,987.86","36,691.01","37,062.77","36,662.12","266.46M","0.51%"
"Oct 29, 2020","36,801.37","37,404.69","37,409.39","36,706.33","124.24M","-1.58%"
"Oct 28, 2020","37,393.71","37,811.91","37,871.54","36,984.28","166.81M","-1.60%"
"Oct 27, 2020","38,001.31","38,208.79","38,244.31","37,924.24","153.21M","-0.64%"
"Oct 26, 2020","38,245.86","38,718.84","38,718.84","38,125.30","88.90M","-1.19%"
"Oct 23, 2020","38,707.72","38,728.77","38,989.03","38,559.43","135.92M","0.14%"
"Oct 22, 2020","38,652.19","38,693.15","38,755.82","38,392.48","218.16M","-0.04%"
"Oct 21, 2020","38,669.25","38,366.05","38,830.60","38,281.81","226.03M","1.22%"
"Oct 20, 2020","38,201.81","37,726.46","38,303.19","37,694.19","169.74M","1.45%"
"Oct 19, 2020","37,655.45","37,891.93","37,992.75","37,558.57","123.40M","-0.58%"
"Oct 16, 2020","37,876.49","38,030.81","38,292.18","37,834.00","145.70M","-0.48%"
"Oct 15, 2020","38,059.23","37,893.85","38,111.95","37,656.48","161.15M","0.78%"
"Oct 14, 2020","37,763.34","38,139.98","38,248.38","37,674.54","28.40M","-0.97%"
"Oct 13, 2020","38,131.78","38,298.84","38,315.94","38,087.00","119.51M","-0.55%"
"Oct 12, 2020","38,342.09","38,574.89","38,669.86","38,287.45","165.64M","-0.35%"
"Oct 09, 2020","38,478.58","38,369.28","38,718.43","38,162.07","59.37M","0.19%"
"Oct 08, 2020","38,404.05","37,440.66","38,446.44","37,380.15","175.75M","2.63%"
"Oct 07, 2020","37,418.79","37,077.64","37,457.78","36,993.08","122.45M","1.27%"
"Oct 06, 2020","36,947.87","36,777.28","37,103.97","36,684.45","102.73M","0.56%"
"Oct 05, 2020","36,740.33","36,728.77","36,952.00","36,631.62","131.83M","0.27%"
"Oct 02, 2020","36,642.38","36,434.61","36,716.17","36,313.74","115.54M","0.04%"
"Oct 01, 2020","36,626.11","37,435.73","37,440.34","36,582.11","123.60M","-2.22%"
"Sep 30, 2020","37,458.69","37,145.91","37,687.98","37,098.78","198.61M","0.87%"
