Date,Germany-EUR,Brazil-BRL,Canada-CAD,China-CNY,India-INR,Japan-JPY,Mexico-MXN,USA-USD
2010-01-01,1,2.497825,1.503568,9.793804,66.725166,133.252538,18.800575,1.4342
2010-02-01,1,2.604291,1.482827,9.502461,64.434988,126.027449,18.078336,1.391783
2010-03-01,1,2.441808,1.417307,9.243916,62.348207,120.767524,17.259425,1.354021
2010-04-01,1,2.403489,1.369532,9.257233,60.697185,127.208379,16.706007,1.355971
2010-05-01,1,2.297122,1.344402,9.083755,59.096539,125.27154,16.250935,1.330394
2010-06-01,1,2.23461,1.284207,8.349835,57.585904,111.335013,15.835191,1.222654
2010-07-01,1,2.248116,1.320966,8.448055,58.076851,109.289835,16.158918,1.245837
2010-08-01,1,2.294234,1.34436,8.838322,60.505203,112.736245,16.537498,1.30397
2010-09-01,1,2.236373,1.349816,8.721855,59.893691,107.950853,16.760132,1.280557
2010-10-01,1,2.312353,1.407327,9.209662,61.178142,114.599886,17.253296,1.376356
2010-11-01,1,2.366234,1.411364,9.304239,61.696788,111.874502,17.15047,1.38923
2010-12-01,1,2.237771,1.336388,8.752748,59.497646,110.49819,16.250309,1.31355
2011-01-01,1,2.220843,1.333663,8.824843,59.731889,108.47771,16.537087,1.33737
2011-02-01,1,2.297901,1.371292,9.098939,63.065018,112.470454,16.632962,1.380479
2011-03-01,1,2.292563,1.341753,9.063683,61.998463,113.028627,16.686245,1.379489
2011-04-01,1,2.30613,1.371462,9.303066,63.212529,119.346254,16.844261,1.420868
2011-05-01,1,2.336064,1.404976,9.629246,65.617273,120.482267,17.071328,1.483473
2011-06-01,1,2.275196,1.397723,9.316314,64.522617,116.532646,16.705407,1.438104
2011-07-01,1,2.262397,1.394915,9.382664,64.690617,117.209226,16.910002,1.451223
2011-08-01,1,2.217352,1.362481,9.180731,62.906035,109.752676,16.686397,1.426766
2011-09-01,1,2.286037,1.393236,9.109004,65.537595,109.807116,17.568976,1.427489
2011-10-01,1,2.496159,1.40808,8.584162,66.109926,103.467013,18.515056,1.344496
2011-11-01,1,2.397775,1.392558,8.68933,67.371099,107.032892,18.705158,1.36729
2011-12-01,1,2.419856,1.369402,8.577905,69.256567,104.659436,18.299095,1.347397
2012-01-01,1,2.414643,1.322443,8.160873,68.72009,99.908411,18.062188,1.294525
2012-02-01,1,2.288291,1.314942,8.305167,64.783154,100.279857,17.042356,1.316874
2012-03-01,1,2.311012,1.313003,8.38827,65.846331,108.15829,17.025294,1.331739
2012-04-01,1,2.42891,1.328256,8.40245,67.619413,110.633746,16.950146,1.333522
2012-05-01,1,2.513553,1.302303,8.332001,69.562489,106.026527,17.08945,1.322891
2012-06-01,1,2.520593,1.288481,7.899936,68.8735,96.890636,17.864273,1.240196
2012-07-01,1,2.570957,1.287419,8.017342,70.228777,100.629008,16.894688,1.26272
2012-08-01,1,2.508123,1.229694,7.808773,68.019667,96.019314,16.317005,1.226112
2012-09-01,1,2.560305,1.240212,7.985897,69.82761,98.567339,16.594366,1.257741
2012-10-01,1,2.611609,1.266805,8.100252,67.565939,100.533317,16.556731,1.288902
2012-11-01,1,2.627905,1.29113,8.07933,69.527962,103.645126,16.879256,1.294038
2012-12-01,1,2.765077,1.290105,8.101238,70.71305,107.017645,16.839295,1.298858
2013-01-01,1,2.705318,1.312394,8.255507,72.26066,114.352908,17.047257,1.320739
2013-02-01,1,2.711759,1.361897,8.51963,72.602951,125.907455,17.287612,1.365048
2013-03-01,1,2.578436,1.338178,8.12254,71.309226,121.356333,16.619723,1.302658
2013-04-01,1,2.592947,1.305316,7.982115,69.725107,120.065678,15.847495,1.28358
2013-05-01,1,2.644276,1.329927,8.14417,70.769849,128.432707,16.077463,1.318364
2013-06-01,1,2.775831,1.345957,7.983323,73.490981,130.657673,16.65258,1.299039
2013-07-01,1,2.904764,1.372006,8.021346,77.571409,129.984259,16.901626,1.305805
2013-08-01,1,3.031185,1.36499,8.118407,80.126603,130.912525,16.935846,1.321978
2013-09-01,1,3.150679,1.39168,8.094186,87.421088,129.832274,17.649878,1.321002
2013-10-01,1,3.006616,1.396083,8.283874,84.617376,132.657451,17.775667,1.352404
2013-11-01,1,3.037709,1.41311,8.266018,83.532295,133.490013,17.664359,1.354335
2013-12-01,1,3.174141,1.442968,8.290846,84.834764,139.254578,17.814888,1.359019
2014-01-01,1,3.249755,1.464255,8.343407,85.065993,144.835474,17.955126,1.375574
2014-02-01,1,3.254671,1.502178,8.188016,84.358171,137.759805,18.017017,1.348849
2014-03-01,1,3.226355,1.528408,8.477741,85.326863,140.528667,18.288249,1.380188
2014-04-01,1,3.120997,1.521951,8.551912,82.668384,142.800845,18.007909,1.379373
2014-05-01,1,3.097887,1.520288,8.655164,83.617595,141.939126,18.101136,1.386913
2014-06-01,1,3.053844,1.47787,8.492923,80.689652,138.715165,17.524333,1.362788
2014-07-01,1,3.01279,1.455764,8.46881,82.140526,138.847122,17.713121,1.367914
2014-08-01,1,3.031997,1.465615,8.297014,81.68593,137.84671,17.703643,1.342868
2014-09-01,1,2.944581,1.427741,8.070084,79.485621,136.914517,17.195588,1.312927
2014-10-01,1,3.124437,1.40895,7.750468,77.876413,137.744229,16.983912,1.261914
2014-11-01,1,3.100605,1.409755,7.662642,76.882823,140.339146,16.875897,1.252477
2014-12-01,1,3.189174,1.414481,7.668639,77.345045,147.651021,17.432942,1.247301
2015-01-01,1,3.201309,1.402813,7.462428,76.253573,144.874728,17.794401,1.2046
2015-02-01,1,3.033951,1.436846,7.054334,70.156318,132.635671,16.933649,1.131345
2015-03-01,1,3.178262,1.398606,6.986348,68.98457,133.83437,16.708532,1.118303
2015-04-01,1,3.421798,1.360687,6.658286,67.116292,128.965149,16.337356,1.077084
2015-05-01,1,3.36684,1.359333,6.927542,71.260633,134.340173,17.364287,1.119955
2015-06-01,1,3.469173,1.367061,6.755228,69.566815,136.225202,16.888978,1.092687
2015-07-01,1,3.470687,1.38743,6.83053,70.260969,135.947335,17.41403,1.104913
2015-08-01,1,3.753517,1.43727,6.824882,70.387241,136.195026,17.725132,1.099087
2015-09-01,1,4.158399,1.49714,7.196821,75.052222,135.472102,19.122253,1.130228
2015-10-01,1,4.487088,1.485542,7.113793,73.436435,134.142413,18.933068,1.119163
2015-11-01,1,4.249296,1.441317,6.962237,72.054024,132.869541,18.182053,1.10208
2015-12-01,1,4.093977,1.419966,6.801316,70.686913,130.625639,17.572173,1.062855
2016-01-01,1,4.291966,1.506202,7.051069,71.930461,130.704992,18.739838,1.085822
2016-02-01,1,4.325564,1.519531,7.161813,73.879482,131.810603,19.826799,1.089039
2016-03-01,1,4.28625,1.460253,7.117642,73.732765,123.736882,19.53051,1.08653
2016-04-01,1,4.056952,1.481475,7.376185,75.444928,127.382384,19.734979,1.139338
2016-05-01,1,3.935721,1.438242,7.416844,76.08869,122.142599,19.685458,1.145664
2016-06-01,1,4.030767,1.462722,7.358721,75.381203,122.859767,20.693337,1.118521
2016-07-01,1,3.603447,1.439204,7.411279,74.934607,114.259078,20.479049,1.113834
2016-08-01,1,3.643778,1.466022,7.419924,74.510911,114.335622,21.06607,1.117072
2016-09-01,1,3.645345,1.466755,7.473186,74.849454,115.663899,20.994326,1.120199
2016-10-01,1,3.666958,1.475878,7.498564,74.911386,113.932213,21.747766,1.124475
2016-11-01,1,3.579166,1.480882,7.48669,73.78862,115.110068,21.212679,1.105945
2016-12-01,1,3.814323,1.419341,7.340996,72.952423,121.494579,22.147565,1.066556
2017-01-01,1,3.42797,1.414911,7.31522,71.588639,123.01925,21.77676,1.053626
2017-02-01,1,3.368833,1.405295,7.405435,72.559615,122.053373,22.30051,1.076888
2017-03-01,1,3.255476,1.407154,7.25051,70.299199,120.233773,20.916698,1.053961
2017-04-01,1,3.330873,1.420888,7.343512,69.186723,118.833368,19.998847,1.06689
2017-05-01,1,3.464975,1.492035,7.518441,70.09929,122.013301,20.437145,1.091226
2017-06-01,1,3.644764,1.516077,7.630751,72.277195,124.985098,20.918733,1.121707
2017-07-01,1,3.779772,1.482275,7.751169,73.879139,128.469556,20.720276,1.143374
2017-08-01,1,3.69347,1.48256,7.936747,75.728103,130.490932,21.141107,1.181608
2017-09-01,1,3.726636,1.470042,7.775553,75.939431,130.773118,21.116312,1.186183
2017-10-01,1,3.735928,1.473231,7.857827,77.129094,133.040504,21.528007,1.18106
2017-11-01,1,3.800282,1.497534,7.679074,75.094817,132.79862,22.225322,1.163197
2017-12-01,1,3.87204,1.508805,7.871426,76.777776,133.454475,22.154741,1.190187
2018-01-01,1,3.979234,1.50849,7.81717,76.505256,135.504717,23.607232,1.201496
2018-02-01,1,3.963571,1.534247,7.879846,80.051102,136.902412,22.943503,1.251405
2018-03-01,1,3.990303,1.575108,7.802141,80.052827,130.325348,23.129746,1.227446
2018-04-01,1,4.06995,1.588089,7.725696,80.194553,130.942143,22.412102,1.231678
2018-05-01,1,4.205692,1.540713,7.595627,80.172428,131.773541,22.722769,1.199468
2018-06-01,1,4.390208,1.510773,7.48702,78.148247,127.761868,23.252337,1.166583
2018-07-01,1,4.523092,1.536271,7.7311,79.97454,129.353124,23.136771,1.168364
2018-08-01,1,4.371939,1.516102,7.958483,79.67941,130.187242,21.686495,1.166317
2018-09-01,1,4.712867,1.516314,7.937936,82.518423,129.045452,22.178569,1.162149
2018-10-01,1,4.651588,1.483341,7.952233,85.398908,131.920553,21.663233,1.157716
2018-11-01,1,4.214988,1.492768,7.89473,83.60607,128.532499,23.00753,1.140296
