dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
29/04/2021,29,4,2021,2286,29,Austria,AT,AUT,8901064,Europe
28/04/2021,28,4,2021,1557,20,Austria,AT,AUT,8901064,Europe
27/04/2021,27,4,2021,1380,22,Austria,AT,AUT,8901064,Europe
26/04/2021,26,4,2021,2091,11,Austria,AT,AUT,8901064,Europe
25/04/2021,25,4,2021,2231,15,Austria,AT,AUT,8901064,Europe
24/04/2021,24,4,2021,2407,32,Austria,AT,AUT,8901064,Europe
23/04/2021,23,4,2021,2347,25,Austria,AT,AUT,8901064,Europe
22/04/2021,22,4,2021,2377,40,Austria,AT,AUT,8901064,Europe
21/04/2021,21,4,2021,2005,27,Austria,AT,AUT,8901064,Europe
20/04/2021,20,4,2021,1792,32,Austria,AT,AUT,8901064,Europe
19/04/2021,19,4,2021,2159,34,Austria,AT,AUT,8901064,Europe
18/04/2021,18,4,2021,2591,23,Austria,AT,AUT,8901064,Europe
17/04/2021,17,4,2021,2348,30,Austria,AT,AUT,8901064,Europe
16/04/2021,16,4,2021,2561,33,Austria,AT,AUT,8901064,Europe
15/04/2021,15,4,2021,2855,31,Austria,AT,AUT,8901064,Europe
14/04/2021,14,4,2021,2032,51,Austria,AT,AUT,8901064,Europe
13/04/2021,13,4,2021,1770,37,Austria,AT,AUT,8901064,Europe
12/04/2021,12,4,2021,2139,18,Austria,AT,AUT,8901064,Europe
11/04/2021,11,4,2021,3559,27,Austria,AT,AUT,8901064,Europe
10/04/2021,10,4,2021,2432,34,Austria,AT,AUT,8901064,Europe
09/04/2021,9,4,2021,3052,36,Austria,AT,AUT,8901064,Europe
08/04/2021,8,4,2021,3006,46,Austria,AT,AUT,8901064,Europe
07/04/2021,7,4,2021,2077,35,Austria,AT,AUT,8901064,Europe
06/04/2021,6,4,2021,2268,26,Austria,AT,AUT,8901064,Europe
05/04/2021,5,4,2021,2915,24,Austria,AT,AUT,8901064,Europe
04/04/2021,4,4,2021,3693,23,Austria,AT,AUT,8901064,Europe
03/04/2021,3,4,2021,3077,33,Austria,AT,AUT,8901064,Europe
02/04/2021,2,4,2021,3058,23,Austria,AT,AUT,8901064,Europe
01/04/2021,1,4,2021,3107,28,Austria,AT,AUT,8901064,Europe
31/03/2021,31,3,2021,2810,28,Austria,AT,AUT,8901064,Europe
30/03/2021,30,3,2021,3240,24,Austria,AT,AUT,8901064,Europe
29/03/2021,29,3,2021,2667,11,Austria,AT,AUT,8901064,Europe
28/03/2021,28,3,2021,3896,27,Austria,AT,AUT,8901064,Europe
27/03/2021,27,3,2021,3487,24,Austria,AT,AUT,8901064,Europe
26/03/2021,26,3,2021,3516,16,Austria,AT,AUT,8901064,Europe
25/03/2021,25,3,2021,3262,29,Austria,AT,AUT,8901064,Europe
24/03/2021,24,3,2021,2715,40,Austria,AT,AUT,8901064,Europe
23/03/2021,23,3,2021,2306,23,Austria,AT,AUT,8901064,Europe
22/03/2021,22,3,2021,2918,19,Austria,AT,AUT,8901064,Europe
21/03/2021,21,3,2021,4051,22,Austria,AT,AUT,8901064,Europe
20/03/2021,20,3,2021,3304,15,Austria,AT,AUT,8901064,Europe
19/03/2021,19,3,2021,3507,33,Austria,AT,AUT,8901064,Europe
