location,month,total_deaths
Brazil,2,
Brazil,2,
Brazil,2,
Brazil,2,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,
Brazil,3,1.0
Brazil,3,3.0
Brazil,3,6.0
Brazil,3,11.0
Brazil,3,15.0
Brazil,3,25.0
Brazil,3,34.0
Brazil,3,46.0
Brazil,3,59.0
Brazil,3,77.0
Brazil,3,92.0
Brazil,3,111.0
Brazil,3,136.0
Brazil,3,159.0
Brazil,3,201.0
Brazil,4,240.0
Brazil,4,324.0
Brazil,4,359.0
Brazil,4,445.0
Brazil,4,486.0
Brazil,4,564.0
Brazil,4,686.0
Brazil,4,819.0
Brazil,4,950.0
Brazil,4,1057.0
Brazil,4,1124.0
Brazil,4,1223.0
Brazil,4,1328.0
Brazil,4,1532.0
Brazil,4,1736.0
Brazil,4,1924.0
Brazil,4,2141.0
Brazil,4,2354.0
Brazil,4,2462.0
Brazil,4,2587.0
Brazil,4,2741.0
Brazil,4,2906.0
Brazil,4,3331.0
Brazil,4,3704.0
Brazil,4,4057.0
Brazil,4,4286.0
Brazil,4,4603.0
Brazil,4,5083.0
Brazil,4,5513.0
Brazil,4,6006.0
Brazil,5,6412.0
Brazil,5,6761.0
Brazil,5,7051.0
Brazil,5,7367.0
Brazil,5,7938.0
Brazil,5,8588.0
Brazil,5,9190.0
Brazil,5,10017.0
Brazil,5,10656.0
Brazil,5,11123.0
Brazil,5,11653.0
Brazil,5,12461.0
Brazil,5,13240.0
Brazil,5,13999.0
Brazil,5,14962.0
Brazil,5,15662.0
Brazil,5,16118.0
Brazil,5,16853.0
Brazil,5,17983.0
Brazil,5,18859.0
Brazil,5,20047.0
Brazil,5,21048.0
Brazil,5,22013.0
Brazil,5,22666.0
Brazil,5,23473.0
Brazil,5,24512.0
Brazil,5,25598.0
Brazil,5,26754.0
Brazil,5,27878.0
Brazil,5,28834.0
Brazil,5,29314.0
Brazil,6,29937.0
Brazil,6,31199.0
Brazil,6,32548.0
Brazil,6,34021.0
Brazil,6,35026.0
Brazil,6,35930.0
Brazil,6,36455.0
Brazil,6,37134.0
Brazil,6,38406.0
Brazil,6,39680.0
Brazil,6,40919.0
Brazil,6,41828.0
Brazil,6,42720.0
Brazil,6,43332.0
Brazil,6,43959.0
Brazil,6,45241.0
Brazil,6,46510.0
Brazil,6,47748.0
Brazil,6,48954.0
Brazil,6,49976.0
Brazil,6,50591.0
Brazil,6,51271.0
Brazil,6,52645.0
Brazil,6,53830.0
Brazil,6,54971.0
Brazil,6,55961.0
Brazil,6,57070.0
Brazil,6,57622.0
Brazil,6,58314.0
Brazil,6,59594.0
Brazil,7,60632.0
Brazil,7,61884.0
Brazil,7,63174.0
Brazil,7,64265.0
Brazil,7,64867.0
Brazil,7,65487.0
Brazil,7,66741.0
Brazil,7,67964.0
Brazil,7,69184.0
Brazil,7,70398.0
Brazil,7,71469.0
Brazil,7,72100.0
Brazil,7,72833.0
Brazil,7,74133.0
Brazil,7,75366.0
Brazil,7,76688.0
Brazil,7,77851.0
Brazil,7,78772.0
Brazil,7,79488.0
Brazil,7,80120.0
Brazil,7,81487.0
Brazil,7,82771.0
Brazil,7,84082.0
Brazil,7,85238.0
Brazil,7,86449.0
Brazil,7,87004.0
Brazil,7,87618.0
Brazil,7,88539.0
Brazil,7,90134.0
Brazil,7,91263.0
Brazil,7,92475.0
Brazil,8,93563.0
Brazil,8,94104.0
Brazil,8,94665.0
Brazil,8,95819.0
Brazil,8,97256.0
Brazil,8,98493.0
Brazil,8,99572.0
Brazil,8,100477.0
Brazil,8,101049.0
Brazil,8,101752.0
Brazil,8,103026.0
Brazil,8,104201.0
Brazil,8,105463.0
Brazil,8,106523.0
Brazil,8,107232.0
