Date,Brazil Bovespa (%),Canada S&P TSX Composite (%),China Shanghai Composite (%),Germany DAX (%),India BSE Sensex 30 (%),Japan Nikkei 225 (%),Mexico S&P BMV IPC (%),USA Down Jones (%)
2010-01-01,-4.65,-5.55,-8.78,-5.85,-6.34,-3.3,-5.38,-3.46
2010-02-01,1.68,4.83,2.1,-0.18,0.44,-0.71,4.09,2.56
2010-03-01,5.82,3.51,1.87,9.92,6.68,9.52,5.16,5.15
2010-04-01,-4.04,1.44,-7.67,-0.29,0.18,-0.29,-1.74,1.4
2010-05-01,-6.64,-3.67,-9.7,-2.79,-3.5,-11.65,-1.98,-7.92
2010-06-01,-3.35,-3.98,-7.48,0.02,4.46,-3.95,-2.75,-3.58
2010-07-01,10.8,3.71,9.97,3.06,0.95,1.65,3.7,7.08
2010-08-01,-3.51,1.71,0.05,-3.62,0.58,-7.48,-1.95,-4.31
2010-09-01,6.58,3.82,0.64,5.13,11.67,6.18,5.21,7.72
2010-10-01,1.79,2.49,12.17,5.98,-0.18,-1.78,6.71,3.06
2010-11-01,-4.2,2.18,-5.33,1.32,-2.55,7.98,3.51,-1.01
2010-12-01,2.36,3.79,-0.43,3.37,5.06,2.94,4.71,5.19
2011-01-01,-3.94,0.81,-0.62,2.36,-10.64,0.09,-4.07,2.72
2011-02-01,1.21,4.31,4.1,2.75,-2.75,3.77,0.1,2.81
2011-03-01,1.79,-0.14,0.79,-3.18,9.1,-8.18,1.14,0.76
2011-04-01,-3.58,-1.21,-0.57,6.72,-1.59,0.97,-1.28,3.98
2011-05-01,-2.29,-1.02,-5.77,-2.94,-3.31,-1.58,-3.06,-1.88
2011-06-01,-3.43,-3.64,0.68,1.13,1.85,1.26,2.02,-1.24
2011-07-01,-5.74,-2.67,-2.18,-2.95,-3.44,0.17,-1.53,-2.18
2011-08-01,-3.96,-1.37,-4.97,-19.19,-8.36,-8.93,-0.77,-4.36
2011-09-01,-7.38,-8.97,-8.11,-4.89,-1.34,-2.85,-6.21,-6.03
2011-10-01,11.49,5.4,4.62,11.62,7.6,3.31,7.93,9.54
2011-11-01,-2.51,-0.39,-5.46,-0.85,-8.93,-6.16,1.85,0.76
2011-12-01,-0.21,-2.04,-5.74,-3.13,-4.15,0.25,0.67,1.43
2012-01-01,11.13,4.16,4.24,9.5,11.25,4.11,0.93,3.4
2012-02-01,4.34,1.54,5.93,6.15,3.25,10.46,1.05,2.53
2012-03-01,-1.98,-1.99,-6.82,1.32,-1.96,3.71,4.51,2.01
2012-04-01,-4.17,-0.8,5.9,-2.67,-0.49,-5.58,-0.15,0.01
2012-05-01,-11.86,-6.34,-1.0,-7.35,-6.35,-10.27,-4.02,-6.21
2012-06-01,-0.25,0.72,-6.19,2.42,7.47,5.43,6.14,3.93
2012-07-01,3.21,0.59,-5.47,5.55,-1.11,-3.46,1.26,1.0
2012-08-01,1.72,2.44,-2.67,2.93,1.12,1.67,-3.15,0.63
2012-09-01,3.71,3.08,1.89,3.52,7.65,0.34,3.67,2.65
2012-10-01,-3.56,0.86,-0.83,0.62,-1.37,0.66,1.84,-2.54
2012-11-01,0.71,-1.48,-4.29,2.0,4.51,5.8,0.51,-0.54
