Date,Brazil Bovespa (%),Canada S&P TSX Composite (%),China Shanghai Composite (%),Germany DAX (%),India BSE Sensex 30 (%),Japan Nikkei 225 (%),Mexico S&P BMV IPC (%),USA Down Jones (%)
2020-01-01,,,,,0.13,,,
2020-01-02,2.53,0.21,1.15,1.03,0.78,,2.06,1.16
2020-01-03,-0.73,-0.2,-0.05,-1.25,-0.39,,0.42,-0.81
2020-01-06,-0.7,0.23,-0.01,-0.7,-1.9,-1.91,-0.29,0.24
2020-01-07,-0.18,0.37,0.69,0.76,0.47,1.6,-0.76,-0.42
2020-01-08,-0.36,-0.0,-1.22,0.71,-0.13,-1.57,0.71,0.56
2020-01-09,-0.26,0.39,0.91,1.31,1.55,2.31,0.23,0.74
2020-01-10,-0.38,-0.01,-0.08,-0.09,0.36,0.47,0.2,-0.46
2020-01-13,1.58,0.34,0.75,-0.24,0.62,,0.42,0.29
2020-01-14,0.26,0.34,-0.28,0.04,0.22,0.73,-0.17,0.11
2020-01-15,-1.04,0.36,-0.54,-0.18,-0.19,-0.45,-0.71,0.31
2020-01-16,0.25,0.4,-0.52,-0.02,0.14,0.07,1.91,0.92
2020-01-17,1.52,0.42,0.05,0.72,0.03,0.45,1.14,0.17
2020-01-20,0.32,0.22,0.66,0.17,-0.99,0.18,0.19,
2020-01-21,-1.54,-0.14,-1.41,0.05,-0.49,-0.91,-0.58,-0.52
2020-01-22,1.17,0.16,0.28,-0.3,-0.5,0.7,-0.07,-0.03
2020-01-23,0.96,0.12,-2.75,-0.94,0.66,-0.98,-0.28,-0.09
2020-01-24,-0.96,-0.32,,1.41,0.55,0.13,-0.74,-0.58
2020-01-27,-3.29,-0.7,,-2.74,-1.1,-2.03,-2.23,-1.57
2020-01-28,1.74,0.33,,0.9,-0.46,-0.55,1.32,0.66
2020-01-29,-0.94,0.06,,0.16,0.57,0.71,0.93,0.04
2020-01-30,0.12,-0.12,,-1.41,-0.69,-1.72,-0.6,0.43
2020-01-31,-1.53,-0.98,,-1.33,-0.47,0.99,-1.68,-2.09
2020-02-01,,,,,-2.43,,,
2020-02-03,0.76,0.35,-7.72,0.49,0.34,-1.01,,0.51
2020-02-04,0.81,0.77,1.34,1.81,2.3,0.49,2.13,1.44
2020-02-05,0.41,0.79,1.25,1.48,0.87,1.02,-0.59,1.68
2020-02-06,-0.72,0.6,1.72,0.72,0.4,2.38,-0.65,0.3
2020-02-07,-1.23,-0.57,0.33,-0.45,-0.4,-0.19,-0.21,-0.94
